id;libelle;dtexecution;statut;volume;volumeveh
1;back-end Vermont;2020-05-25;software pixel parse;42697;38038
2;Investor Total;2020-05-24;Auto Loan Account systems Progressive;74057;70763
3;partnerships;2020-05-24;Organic Station;48905;26296
4;cohesive Corporate;2020-05-24;Brand;34575;90402
5;exploit customized circuit;2020-05-25;New Jersey Berkshire calculate;56098;6797
6;Planner;2020-05-24;payment Station Quality;53048;96888
7;compress Mauritius New Israeli Sheqel;2020-05-25;alarm Awesome;82278;58086
8;Berkshire violet;2020-05-24;backing up;80729;22817
9;hacking granular EXE;2020-05-24;yellow override Sudanese Pound;59222;4509
10;New Hampshire Quality;2020-05-25;Metal Berkshire;39808;89643
